category,name,estimate,true,squared_error
scalar,beta,-0.02266556882943641,,
scalar,xi,1.5439347159153287,,
scalar,eta,0.18015745097853475,,
metric,final_loss,0.39370502452264716,,
metric,penalized_objective,0.4143564520993609,,
metric,mple_loss_without_penalty,0.39370502452264716,,
metric,lambda_uv_ridge,0.1,,
metric,u_frobenius_norm,243.617676342759,,
metric,v_frobenius_norm,2.82842712474619,,
metric,effective_rank,8.0,,
latent_diagnostic,estimated_field_max_abs_entry,2.3723095780731316,,
latent_diagnostic,estimated_field_rank,8.0,8.0,
