2026-07-26 06:48:25 | INFO | Loading data...
2026-07-26 06:48:25 | INFO | Using panel artifact: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Synthetic/confounding_strong_4/panel_data.npz
2026-07-26 06:48:25 | INFO | Using x_0 artifact: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Synthetic/confounding_strong_4/x_0.npy
2026-07-26 06:48:25 | INFO | Using fit config: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Synthetic/confounding_strong_4/fits_baselines/treatment_split_rank_1_uv_1_e2/fit_realized_config.yaml
2026-07-26 06:48:25 | INFO | Using model artifact directory: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Synthetic/confounding_strong_4
2026-07-26 06:48:25 | INFO | Using truth artifact directory: /orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/Synthetic/confounding_strong_4
2026-07-26 06:48:25 | INFO | Configured optimizer mode: alternating_treatment_split_latent_rank
2026-07-26 06:48:25 | INFO | Configured latent rank: 1
2026-07-26 06:48:25 | INFO | Using a fixed known graph with scalar xi.
2026-07-26 06:48:25 | INFO | Fit-time hard bounds active: False
2026-07-26 06:48:25 | INFO | Fixed scalar parameters: {'beta': 0.0, 'xi': 0.0, 'eta': 0.0}
2026-07-26 06:48:25 | INFO | Warm-start fixed scalars: {} for 0 steps
2026-07-26 06:48:25 | INFO | Beta-gradient mask before s: False with s=0
2026-07-26 06:48:25 | INFO | Beta-gradient mask after e: False with e=10
2026-07-26 06:48:25 | INFO | Alternating V-column L2-ball constraint active with radius 1.0
2026-07-26 06:48:25 | INFO | Optimizer settings: steps=20000, tol=1e-09, n_starts=1, seed=0, lambda_nuclear=0.0, lambda_frobenius=0.0, lambda_uv_ridge=0.01, v_column_l2_max=1.0, proximal_lr=1.0
2026-07-26 06:48:25 | INFO | Treatment-split alternating low-rank start 1/1 | seed=0 | initial_loss=0.693089 | initial_penalized=0.693090
2026-07-26 06:48:25 | INFO | Treatment-split alternating low-rank iter 0 | Loss: 0.689293 | Penalized: 0.689305
2026-07-26 06:48:27 | INFO | Treatment-split alternating low-rank iter 100 | Loss: 0.614403 | Penalized: 0.619576
2026-07-26 06:48:29 | INFO | Treatment-split alternating low-rank iter 200 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:30 | INFO | Treatment-split alternating low-rank iter 300 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:32 | INFO | Treatment-split alternating low-rank iter 400 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:33 | INFO | Treatment-split alternating low-rank iter 500 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:35 | INFO | Treatment-split alternating low-rank iter 600 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:37 | INFO | Treatment-split alternating low-rank iter 700 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:38 | INFO | Treatment-split alternating low-rank iter 800 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:40 | INFO | Treatment-split alternating low-rank iter 900 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:41 | INFO | Treatment-split alternating low-rank iter 1000 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:43 | INFO | Treatment-split alternating low-rank iter 1100 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:45 | INFO | Treatment-split alternating low-rank iter 1200 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:46 | INFO | Treatment-split alternating low-rank iter 1300 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:48 | INFO | Treatment-split alternating low-rank iter 1400 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:49 | INFO | Treatment-split alternating low-rank iter 1500 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:51 | INFO | Treatment-split alternating low-rank iter 1600 | Loss: 0.614401 | Penalized: 0.619575
2026-07-26 06:48:52 | INFO | Treatment-split alternating low-rank iter 1700 | Loss: 0.614401 | Penalized: 0.619575
