category,name,estimate,true,squared_error
scalar,beta,-0.03755791569528271,,
scalar,xi,0.0,,
scalar,eta,0.22643475062738602,,
metric,final_loss,0.45432595183463914,,
metric,penalized_objective,0.4778872478722028,,
metric,mple_loss_without_penalty,0.45432595183463914,,
metric,lambda_uv_ridge,0.05,,
metric,u_frobenius_norm,333.935044800316,,
metric,v_frobenius_norm,1.7320508075688772,,
metric,effective_rank,3.0,,
latent_diagnostic,estimated_field_max_abs_entry,2.535657945787406,,
latent_diagnostic,estimated_field_rank,3.0,3.0,
