experiment_name,descriptor,variant_name,variant_slug,optimizer_mode,field_mode,latent_rank,lambda_nuclear,lambda_frobenius,lambda_uv_ridge,fixed_scalar_params,ranking_mode,rank_in_experiment,is_best,total_recovery_rmse,final_loss,field_rmse,interaction_fro_error,optimizer_status,beta_abs_error,xi_abs_error,eta_abs_error,estimated_field_max_abs_entry,estimated_field_rank,estimated_field_frobenius_norm,estimated_field_nuclear_norm,estimated_singular_value_count,estimated_u_frobenius_norm,estimated_v_frobenius_norm,estimated_sv_1,estimated_sv_2,estimated_sv_3,estimated_sv_4,estimated_sv_5,true_field_max_abs_entry,true_field_rank,true_field_frobenius_norm,true_field_nuclear_norm,true_singular_value_count,true_u_frobenius_norm,true_v_frobenius_norm,true_sv_1,true_sv_2,true_sv_3,true_sv_4,true_sv_5
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_5_e1_beta_mask,alternating_rank_8_uv_5_e1_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,0.5,{},total_recovery_rmse,1,True,0.713200675755435,0.5835009536651977,0.38955644767367925,0.07761241233678892,CONVERGED: alternating objective tolerance reached,0.3088499751663637,0.010243134374864127,0.004551118540527865,1.4340864702786535,8,139.71376769799087,333.22822581745964,8,2.8284271247461903,2.8284271247461903,94.7709094505005,66.8667956004337,56.00412213876382,37.47670896183359,20.314378122958903,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_1_e1_beta_mask,alternating_rank_8_uv_1_e1_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,0.1,{},total_recovery_rmse,2,False,0.720638415153044,0.558940455739001,0.40221922551589007,0.30705177835018904,CONVERGED: alternating objective tolerance reached,0.2753333816414043,0.040524093131313776,0.002561714864435849,2.7166298878666577,8,239.5522517370406,639.0367811007475,8,2.8284271247461903,2.8284271247461903,135.44945246856116,105.25339601320064,93.72991523989192,82.8231302503354,59.011862416628595,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_1_beta_mask,alternating_rank_8_uv_1_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,1.0,{},total_recovery_rmse,3,False,0.7561896795803243,0.5997322416524047,0.40616274708473105,0.1673162105415753,CONVERGED: alternating objective tolerance reached,0.3210999869609303,0.02208206620654196,0.006844879328121056,1.1318399636618688,8,105.66006155233359,215.179814735918,8,2.8284271247461903,2.8284271247461903,78.99751614680974,51.81199544925995,41.060213556797486,20.557801332875254,6.450715561791979,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_5_e2_beta_mask,alternating_rank_8_uv_5_e2_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,0.05,{},total_recovery_rmse,4,False,0.769921129286024,0.5534446668073281,0.4502276147899132,0.3550776168205474,CONVERGED: alternating objective tolerance reached,0.26591139543442466,0.04686244935689654,0.006919669704789522,4.811635100480198,8,287.26481461075434,790.1882023044516,8,2.8284271247461903,2.8284271247461903,149.0433094524839,117.3925661120799,106.62290172471437,99.17678166978529,84.68198388001693,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_1p5_beta_mask,alternating_rank_8_uv_1p5_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,1.5,{},total_recovery_rmse,5,False,0.7783575438681025,0.6086432637713501,0.41852419122077983,0.1945768972130406,CONVERGED: alternating objective tolerance reached,0.3269616105784801,0.02567987831313101,0.007191863755711625,0.9975087365630108,5,90.93025398381879,160.75407883200995,5,2.23606797749979,2.23606797749979,71.07754880450096,44.185664441036394,33.45082343880872,12.040042137607285,1.00558254134012e-08,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,base_beta_mask,base_beta_mask,no_external_field,confounded_low_rank,0,0.0,0.0,0.0,{},total_recovery_rmse,6,False,0.8690910414701861,0.6470610226128494,0.5,0.16054359059054413,Optimization terminated successfully.,0.3345526966978908,0.021188229072253817,0.01335011570004152,0.0,0,0.0,0.0,0,0.0,0.0,,,,,,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_1_e2_beta_mask,alternating_rank_8_uv_1_e2_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,0.01,{},total_recovery_rmse,7,False,1.0594435456657776,0.5452492648482029,0.7379436690708453,0.45179994655569994,CONVERGED: alternating objective tolerance reached,0.2548310833057607,0.05962767325211438,0.0070411200370572025,14.869016737476704,8,472.3722662864026,1316.0446888451615,8,2.8284271247461903,2.8284271247461903,199.82213624306465,192.53556256411431,187.46363893776473,177.3343757896173,162.38097280554155,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_5_e3_beta_mask,alternating_rank_8_uv_5_e3_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,0.005,{},total_recovery_rmse,8,False,1.3166674044121682,0.5420424177453798,1.0050439526214336,0.3382918815450937,CONVERGED: alternating objective tolerance reached,0.2662509293421743,0.04464710084716006,0.0007254216014000447,18.539650614428066,8,637.8569297021122,1768.978752422207,8,2.8284271247461903,2.8284271247461903,271.30773008343243,269.75769108960765,260.4425790767099,242.0280349763605,213.5146079340303,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_1_e3_beta_mask,alternating_rank_8_uv_1_e3_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,0.001,{},total_recovery_rmse,9,False,2.3841185785987555,0.5352711176062992,2.0641070030763724,0.2773790611385321,CONVERGED: alternating objective tolerance reached,0.2808743113556729,0.03660794595182104,0.002529318214889109,41.604428813517075,8,1255.321795692207,3484.2990223383636,8,2.8284271247461903,2.8284271247461903,591.7334949009918,490.59859122187953,469.41353536510843,460.8680890587887,441.24928734728934,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
r5_c1_hybrid_us_county_intervention_generated_graph_confounding,r5_c1_hybrid_us_county_intervention_generated_graph_confounding,alternating_rank_8_uv_5_e4_beta_mask,alternating_rank_8_uv_5_e4_beta_mask,alternating_latent_rank,confounded_low_rank,8,0.0,0.0,0.0005,{},total_recovery_rmse,10,False,3.1077752847167286,0.5327133013138398,2.786276767285418,0.24383317618551173,CONVERGED: alternating objective tolerance reached,0.28602364667596614,0.03218062566951296,0.0032942450858316485,52.2441135990966,8,1682.3728931651967,4668.001987953343,8,2.8284271247461903,2.8284271247461903,775.5651373365462,665.9015431325515,650.2663616655883,627.3267504148724,586.1328533926965,3.0406895609284317,5,294.36796700728155,647.9025180616803,5,2.23606797749979,2.23606797749979,158.0250044052874,142.22250396475857,142.2225039647585,110.61750308370095,94.81500264317228
