experiment_name,source_type,variant_name,intervention_source,intervention_name
confounding_strong_1,truth,,saved_intervention,all_ones
confounding_strong_1,fit,base,saved_intervention,all_ones
confounding_strong_1,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_1,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_1,truth,,saved_intervention,all_zeros
confounding_strong_1,fit,base,saved_intervention,all_zeros
confounding_strong_1,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_1,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_2,truth,,saved_intervention,all_ones
confounding_strong_2,fit,base,saved_intervention,all_ones
confounding_strong_2,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_2,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_2,truth,,saved_intervention,all_zeros
confounding_strong_2,fit,base,saved_intervention,all_zeros
confounding_strong_2,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_2,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_3,truth,,saved_intervention,all_ones
confounding_strong_3,fit,base,saved_intervention,all_ones
confounding_strong_3,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_3,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_3,truth,,saved_intervention,all_zeros
confounding_strong_3,fit,base,saved_intervention,all_zeros
confounding_strong_3,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_3,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_4,truth,,saved_intervention,all_ones
confounding_strong_4,fit,base,saved_intervention,all_ones
confounding_strong_4,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_4,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_4,truth,,saved_intervention,all_zeros
confounding_strong_4,fit,base,saved_intervention,all_zeros
confounding_strong_4,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_4,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_5,truth,,saved_intervention,all_ones
confounding_strong_5,fit,base,saved_intervention,all_ones
confounding_strong_5,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_5,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_5,truth,,saved_intervention,all_zeros
confounding_strong_5,fit,base,saved_intervention,all_zeros
confounding_strong_5,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_5,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_6,truth,,saved_intervention,all_ones
confounding_strong_6,fit,base,saved_intervention,all_ones
confounding_strong_6,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_6,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_6,truth,,saved_intervention,all_zeros
confounding_strong_6,fit,base,saved_intervention,all_zeros
confounding_strong_6,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_6,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_7,truth,,saved_intervention,all_ones
confounding_strong_7,fit,base,saved_intervention,all_ones
confounding_strong_7,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_7,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_7,truth,,saved_intervention,all_zeros
confounding_strong_7,fit,base,saved_intervention,all_zeros
confounding_strong_7,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_7,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_8,truth,,saved_intervention,all_ones
confounding_strong_8,fit,base,saved_intervention,all_ones
confounding_strong_8,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_8,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_8,truth,,saved_intervention,all_zeros
confounding_strong_8,fit,base,saved_intervention,all_zeros
confounding_strong_8,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_8,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_9,truth,,saved_intervention,all_ones
confounding_strong_9,fit,base,saved_intervention,all_ones
confounding_strong_9,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_9,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_9,truth,,saved_intervention,all_zeros
confounding_strong_9,fit,base,saved_intervention,all_zeros
confounding_strong_9,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_9,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
confounding_strong_10,truth,,saved_intervention,all_ones
confounding_strong_10,fit,base,saved_intervention,all_ones
confounding_strong_10,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_ones
confounding_strong_10,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_ones
confounding_strong_10,truth,,saved_intervention,all_zeros
confounding_strong_10,fit,base,saved_intervention,all_zeros
confounding_strong_10,fit,alternating_rank_3_uv_5_e2,saved_intervention,all_zeros
confounding_strong_10,fit,alternating_rank_3_uv_5_e2_xi_zero,saved_intervention,all_zeros
