name,value
n_neighbors,8
weights,uniform
anchor_solver,bitset_exact
random_splits,False
max_rank,1
spectral_t,
linear_span_eps,0.05
subspace_eps,0.05
min_value,
max_value,
treated_num_observed,12445
treated_num_target_missing,12555
treated_num_completed,12555
treated_num_failed,0
untreated_num_observed,12555
untreated_num_target_missing,12445
untreated_num_completed,12445
untreated_num_failed,0
treated_completion_rate,1.0
untreated_completion_rate,1.0
overall_completion_rate,1.0
status,completed
