category,name,estimate,true,squared_error
scalar,beta,-0.3104098920449636,-0.3,0.00010836585238779686
scalar,xi,0.8958177594162257,0.8,0.009181043019545691
scalar,eta,0.3093124040303633,0.3,8.672086882472699e-05
metric,final_loss,0.4889073857350538,,
metric,field_rmse,0.26611499865407096,,
metric,interaction_fro_error,0.9048752083926089,,
metric,penalized_objective,0.49244824536048604,,
metric,mple_loss_without_penalty,0.4889073857350538,,
metric,lambda_frobenius,0.1,,
metric,frobenius_norm,159.90832333253104,,
metric,normalized_frobenius_norm,0.26611499865404864,,
metric,squared_normalized_frobenius_norm,0.07081719250864432,,
metric,frobenius_norm_normalizer,600.8993260106056,,
metric,frobenius_penalty_normalizer,361080.0,,
metric,effective_rank,5.0,,
latent_diagnostic,estimated_field_max_abs_entry,2.5731463719651684,,
latent_diagnostic,estimated_field_rank,5.0,5.0,
latent_diagnostic,true_field_max_abs_entry,0.0,,
latent_diagnostic,true_field_rank,0.0,,
