unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.051250000000000004,0.05194648688795037,-0.0625,0.06,0.1125,16
1,0.008749999999999997,0.0894339840329167,-0.14,0.02,0.195,16
2,-0.08249999999999999,0.08058380730643099,-0.205,-0.09,0.075,16
3,0.020000000000000004,0.06363961030678929,-0.09,0.03,0.125,16
4,-0.10250000000000001,0.05952940449895329,-0.1725,-0.11,0.0125,16
5,-0.0425,0.08856494791959175,-0.1725,-0.05,0.1225,16
6,-0.09625,0.0700780814520489,-0.2125,-0.08,0.005000000000000001,16
7,0.06625,0.11805057179022896,-0.1375,0.07,0.23249999999999998,16
8,-0.036250000000000004,0.07753023603730354,-0.195,0.0,0.0525,16
9,0.01625,0.09061422349719718,-0.1375,0.01,0.195,16
10,0.02375,0.08894345113610108,-0.14,0.03,0.165,16
11,0.0025000000000000005,0.08302860952707808,-0.1325,0.0,0.14,16
12,-0.037500000000000006,0.0833291665624948,-0.165,-0.05,0.11000000000000001,16
13,0.031249999999999993,0.09191538228174868,-0.1,0.03,0.2025,16
14,-0.011250000000000003,0.08630433071404935,-0.1525,0.0,0.12,16
15,0.0625,0.06814506585219506,-0.0725,0.08,0.16,16
16,-0.04875,0.08425222548989433,-0.21500000000000002,-0.05,0.065,16
17,-0.02125,0.07296189073756244,-0.1375,-0.02,0.105,16
18,0.1175,0.062399919871743426,0.0024999999999999988,0.12,0.2125,16
19,-0.042499999999999996,0.07479137650825796,-0.1825,-0.039999999999999994,0.085,16
20,0.016249999999999997,0.06753471329620049,-0.06,-0.01,0.1325,16
21,-2.168404344971009e-19,0.06999999999999999,-0.105,0.0,0.145,16
22,0.058750000000000004,0.06688376110835872,-0.0575,0.06,0.1725,16
23,-0.0325,0.06887488656977955,-0.12,-0.06,0.0975,16
24,-0.011250000000000001,0.09898705723477186,-0.195,0.01,0.12,16
25,0.05625000000000001,0.08099961419661207,-0.0975,0.09,0.14,16
26,0.0025000000000000022,0.07964766161036996,-0.13,0.01,0.1425,16
27,-0.028750000000000005,0.06081478027585071,-0.14,-0.03,0.06,16
28,0.03125,0.05521265706339444,-0.0975,0.04,0.105,16
29,0.03125,0.06927075501248706,-0.0725,0.02,0.1575,16
30,-0.0075,0.09769211841289961,-0.1575,-0.02,0.2,16
