category,name,estimate,true,squared_error
scalar,beta,-0.26749624339513955,-0.3,0.0010564941934280083
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.32395538380194117,0.3,0.0005738604130983057
metric,final_loss,0.5525184367464353,,
metric,field_rmse,0.7299115618277703,,
metric,interaction_fro_error,8.851316512906353,,
metric,penalized_objective,0.5531794757321596,,
metric,mple_loss_without_penalty,0.5525184367464353,,
metric,lambda_uv_ridge,0.001,,
metric,u_frobenius_norm,435.9589824403151,,
metric,v_frobenius_norm,2.2360679774997907,,
metric,effective_rank,5.0,,
latent_diagnostic,estimated_field_max_abs_entry,27.146916889407255,,
latent_diagnostic,estimated_field_rank,5.0,5.0,
latent_diagnostic,true_field_max_abs_entry,2.3604042384888553,,
latent_diagnostic,true_field_rank,5.0,,
