category,name,estimate,true,squared_error
scalar,beta,-0.3037859323756964,-0.3,1.4333283953346266e-05
scalar,xi,0.7458617320122461,0.8,0.002930952060713858
scalar,eta,0.3031351723372503,0.3,9.829305584259525e-06
metric,final_loss,0.5250777698273664,,
metric,field_rmse,0.376621402818706,,
metric,interaction_fro_error,0.19179791221326617,,
metric,penalized_objective,0.5414741560529414,,
metric,mple_loss_without_penalty,0.5250777698273664,,
metric,lambda_uv_ridge,0.05,,
metric,u_frobenius_norm,75.19798555145537,,
metric,v_frobenius_norm,1.7320508075688776,,
metric,effective_rank,3.0,,
latent_diagnostic,estimated_field_max_abs_entry,2.5593706669686345,,
latent_diagnostic,estimated_field_rank,3.0,3.0,
latent_diagnostic,true_field_max_abs_entry,2.973508604755072,,
latent_diagnostic,true_field_rank,3.0,,
