experiment_name,path,outcome_column,network_name,node_count,time_steps,pre_intervention_steps,nnz,undirected_edges,avg_degree,max_degree,gamma_inf_norm,gamma_fro_norm
i_drugs_gt_0_pm1__contiguity,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_0_pm1__contiguity,i_drugs_gt_0_pm1,contiguity,9642,15,11,65192,32596,0.1649086061489115,1.0,1.0,6.227493683085781
i_drugs_gt_0_pm1__knn_8,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_0_pm1__knn_8,i_drugs_gt_0_pm1,knn_8,9642,15,11,88082,44041,0.6090161100739818,0.9999999999999999,0.9999999999999999,19.785741218249964
i_drugs_gt_0_pm1__knn_16,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_0_pm1__knn_16,i_drugs_gt_0_pm1,knn_16,9642,15,11,172796,86398,0.5973726059600358,1.0,1.0,13.856246084548136
i_drugs_gt_0_pm1__centroid_distance_kernel_8,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_0_pm1__centroid_distance_kernel_8,i_drugs_gt_0_pm1,centroid_distance_kernel_8,9642,15,11,88082,44041,0.45842535575953675,1.0,1.0,16.03683620256374
i_drugs_gt_0_pm1__centroid_distance_kernel_16,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_0_pm1__centroid_distance_kernel_16,i_drugs_gt_0_pm1,centroid_distance_kernel_16,9642,15,11,172796,86398,0.5311909635579034,0.9999999999999999,0.9999999999999999,13.377146078791135
i_drugs_gt_district_mean_pm1__contiguity,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_district_mean_pm1__contiguity,i_drugs_gt_district_mean_pm1,contiguity,9642,15,11,65192,32596,0.1649086061489115,1.0,1.0,6.227493683085781
i_drugs_gt_district_mean_pm1__knn_8,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_district_mean_pm1__knn_8,i_drugs_gt_district_mean_pm1,knn_8,9642,15,11,88082,44041,0.6090161100739818,0.9999999999999999,0.9999999999999999,19.785741218249964
i_drugs_gt_district_mean_pm1__knn_16,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_district_mean_pm1__knn_16,i_drugs_gt_district_mean_pm1,knn_16,9642,15,11,172796,86398,0.5973726059600358,1.0,1.0,13.856246084548136
i_drugs_gt_district_mean_pm1__centroid_distance_kernel_8,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_district_mean_pm1__centroid_distance_kernel_8,i_drugs_gt_district_mean_pm1,centroid_distance_kernel_8,9642,15,11,88082,44041,0.45842535575953675,1.0,1.0,16.03683620256374
i_drugs_gt_district_mean_pm1__centroid_distance_kernel_16,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\i_drugs_gt_district_mean_pm1__centroid_distance_kernel_16,i_drugs_gt_district_mean_pm1,centroid_distance_kernel_16,9642,15,11,172796,86398,0.5311909635579034,0.9999999999999999,0.9999999999999999,13.377146078791135
any_crime_gt_0_pm1__contiguity,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_0_pm1__contiguity,any_crime_gt_0_pm1,contiguity,9642,15,11,65192,32596,0.1649086061489115,1.0,1.0,6.227493683085781
any_crime_gt_0_pm1__knn_8,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_0_pm1__knn_8,any_crime_gt_0_pm1,knn_8,9642,15,11,88082,44041,0.6090161100739818,0.9999999999999999,0.9999999999999999,19.785741218249964
any_crime_gt_0_pm1__knn_16,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_0_pm1__knn_16,any_crime_gt_0_pm1,knn_16,9642,15,11,172796,86398,0.5973726059600358,1.0,1.0,13.856246084548136
any_crime_gt_0_pm1__centroid_distance_kernel_8,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_0_pm1__centroid_distance_kernel_8,any_crime_gt_0_pm1,centroid_distance_kernel_8,9642,15,11,88082,44041,0.45842535575953675,1.0,1.0,16.03683620256374
any_crime_gt_0_pm1__centroid_distance_kernel_16,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_0_pm1__centroid_distance_kernel_16,any_crime_gt_0_pm1,centroid_distance_kernel_16,9642,15,11,172796,86398,0.5311909635579034,0.9999999999999999,0.9999999999999999,13.377146078791135
any_crime_gt_district_mean_pm1__contiguity,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_district_mean_pm1__contiguity,any_crime_gt_district_mean_pm1,contiguity,9642,15,11,65192,32596,0.1649086061489115,1.0,1.0,6.227493683085781
any_crime_gt_district_mean_pm1__knn_8,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_district_mean_pm1__knn_8,any_crime_gt_district_mean_pm1,knn_8,9642,15,11,88082,44041,0.6090161100739818,0.9999999999999999,0.9999999999999999,19.785741218249964
any_crime_gt_district_mean_pm1__knn_16,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_district_mean_pm1__knn_16,any_crime_gt_district_mean_pm1,knn_16,9642,15,11,172796,86398,0.5973726059600358,1.0,1.0,13.856246084548136
any_crime_gt_district_mean_pm1__centroid_distance_kernel_8,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_district_mean_pm1__centroid_distance_kernel_8,any_crime_gt_district_mean_pm1,centroid_distance_kernel_8,9642,15,11,88082,44041,0.45842535575953675,1.0,1.0,16.03683620256374
any_crime_gt_district_mean_pm1__centroid_distance_kernel_16,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\SeattleDMI\any_crime_gt_district_mean_pm1__centroid_distance_kernel_16,any_crime_gt_district_mean_pm1,centroid_distance_kernel_16,9642,15,11,172796,86398,0.5311909635579034,0.9999999999999999,0.9999999999999999,13.377146078791135
