category,name,estimate,true,squared_error
scalar,beta,-0.09373678122491448,-0.3,0.04254451541945879
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.3057443365530431,0.3,3.29974024346274e-05
metric,final_loss,0.5565290557449935,,
metric,field_rmse,0.3663582012846751,,
metric,interaction_fro_error,8.851316512906353,,
metric,penalized_objective,0.5737707316609313,,
metric,mple_loss_without_penalty,0.5565290557449935,,
metric,lambda_uv_ridge,0.1,,
metric,u_frobenius_norm,222.63002625720694,,
metric,v_frobenius_norm,2.2360679774997902,,
metric,effective_rank,5.0,,
latent_diagnostic,estimated_field_max_abs_entry,2.149031174743529,,
latent_diagnostic,estimated_field_rank,5.0,5.0,
latent_diagnostic,true_field_max_abs_entry,3.00588959115821,,
latent_diagnostic,true_field_rank,5.0,,
